make,model,year,vin,price
Kia,Amanti,2005,2G4GT5GX9F9917857,$2526.53
Land Rover,Discovery Series II,2000,4T1BD1FK0CU833124,$5971.09
Acura,RSX,2006,WA1LFBFP4EA330179,$3829.71
Pontiac,Bonneville,1965,JHMFA3F24BS921015,$4508.99
Mitsubishi,Galant,1986,2HNYD28258H444596,$5513.94
Suzuki,Daewoo Magnus,2004,JM1BL1K35B1313409,$5786.64
Ferrari,612 Scaglietti,2006,2T1BU4EEXDC529699,$2260.92
Mitsubishi,Outlander,2011,1N6AA0EC9FN199417,$9019.99
Buick,Terraza,2007,1D7RB1GPXAS719813,$2695.28
Honda,Element,2006,1G6AL5S32D0646066,$5253.00
Toyota,Celica,1984,YV1982BW4A1515327,$3824.99
Mazda,Navajo,1994,SCFFDABEXCG293898,$5992.25
Chevrolet,Camaro,1999,4T1BF1FK7DU682391,$5778.33
Volkswagen,Touareg,2009,JH4DC53896S067330,$4302.77
Chevrolet,Suburban 2500,1995,JTEBU5JR0F5280971,$9350.10
Audi,90,1995,WBAEV53443K402404,$7614.48
Mitsubishi,Precis,1986,WAUEH98E77A302406,$5569.81
Volkswagen,Jetta,2003,JN1AZ4EH8FM453447,$4437.02
Isuzu,Trooper,1993,1D7RV1CT6BS378633,$566.68
Mazda,Navajo,1993,KMHTC6AD8EU698653,$1173.37
Chrysler,Cirrus,2000,3C3CFFFH6ET577254,$4706.35
Mercury,Milan,2007,SCFBB03C39G065231,$9163.42
Lincoln,Mark VIII,1995,WBAYB6C53ED439102,$6656.85
Mercedes-Benz,600SEC,1993,WBA4C9C56FD096641,$5216.27
Scion,tC,2012,WBAWB7C56AP048872,$3208.49
Infiniti,QX56,2008,SAJWA8JH9EM319117,$3481.91
Dodge,D250 Club,1993,WBAPK5C57BF995113,$5417.20
Chrysler,PT Cruiser,2001,1FT7W2A64EE490218,$9996.53
Cadillac,Allante,1992,WBAYE0C50DD362224,$9049.29
BMW,3 Series,2005,JN1AJ0HP8BM034737,$1736.90
Hyundai,Tiburon,2007,1FMCU0C72CK117834,$6157.66
Bentley,Continental GT,2010,TRUWX28N421656397,$1663.25
Volvo,V70,2008,SCFEBBCF6CG875558,$7434.74
Toyota,Camry,2002,3D4PH6FG3BT269150,$5500.42
Lotus,Exige,2009,WDDUG7GB4FA291446,$3005.03
Chevrolet,Tahoe,2000,JH4DC53096S241987,$4582.78
Nissan,Maxima,2008,1G6DC8EY3B0697658,$8157.89
Volkswagen,Eurovan,1995,5FRYD4H27GB797975,$684.14
Subaru,Forester,2007,WBAHL83546D477500,$9951.38
Porsche,Cayenne,2010,KNDMB5C10F6489941,$2490.18
Subaru,Tribeca,2007,WVGEF9BP5FD516158,$3978.38
Mercedes-Benz,S-Class,2003,1FMNE1BW7AD291095,$2320.58
Toyota,Tercel,1993,WUARL48H98K249500,$4954.74
Ford,Crown Victoria,2001,1D4PU6GX9BW865223,$6749.04
Oldsmobile,Intrigue,1999,5FRYD4H69GB525267,$7781.79
Chrysler,LHS,2001,WAUDH78E78A160219,$935.42
Land Rover,Freelander,2004,5GAEV23D99J217430,$9004.82
Volkswagen,Tiguan,2011,JTHKD5BH6D2341943,$2588.71
Plymouth,Colt Vista,1994,SCFEBBBKXBG276109,$9051.48
Dodge,Avenger,2000,1B3CB8HB7AD509980,$3346.16
Dodge,D350,1992,1G6AB5RA9F0995025,$8965.86
Porsche,911,1993,JTHBB1BA1A2273080,$8081.38
BMW,M3,1999,WDDGF4HB0CR310584,$1715.66
Volkswagen,Passat,2002,1G6DG5E5XD0871205,$6456.43
Land Rover,Range Rover Sport,2007,WBA3B9C56FF133223,$2290.34
Hyundai,Tiburon,2008,5NPDH4AE6CH163562,$2936.80
Volvo,V70,1999,2T1BU4EE7CC065785,$7427.93
Chevrolet,Suburban 1500,2012,2G4GS5EV9D9021835,$3599.02
Chrysler,Cirrus,2000,WA1LMBFE4ED687946,$9889.64
Kia,Forte,2010,SCBLC31E01C964133,$6141.96
Lincoln,LS,2003,5LMJJ2H58CE662194,$5025.25
Chevrolet,Express 1500,2012,SALWR2VF4FA690808,$8900.32
Pontiac,Firebird,1985,2B3CL5CT6BH740580,$7908.21
Pontiac,Torrent,2007,WBAWB73578P703549,$2855.61
Subaru,Alcyone SVX,1993,1GTN1UEHXEZ867000,$1404.75
Ford,Ranger,1984,1GYS4KEFXDR411598,$6499.29
Infiniti,G25,2011,JM3KE2BE9F0706043,$1731.02
Mitsubishi,Chariot,1985,1D7RW5GK9BS811545,$8677.97
Geo,Tracker,1992,1G4HD57256U271032,$8695.50
BMW,8 Series,1994,SALVP2BG8EH537756,$5807.89
Volkswagen,Passat,2004,2T1BURHE0FC818196,$6024.68
Dodge,Grand Caravan,2005,KM8JT3AB2BU930440,$4899.50
Pontiac,Bonneville,1968,WAUSH78E18A560073,$6978.60
Toyota,Avalon,1997,1N6AD0CU3BC057315,$6341.52
Pontiac,Grand Am,1999,1FMJK2A58AE519072,$9888.17
Mitsubishi,Galant,2011,3C63D3EL7CG866887,$1797.90
Mitsubishi,3000GT,1997,1G6KF54911U535722,$2965.90
Audi,RS 4,2007,2HNYB1H66CH619532,$9466.09
GMC,2500,1999,1N4AA5AP6DC443161,$5069.91
Infiniti,EX,2009,WAUMFAFLXAN918217,$6736.74
Chevrolet,Silverado,1999,WAUEF78E57A612516,$6651.74
Chevrolet,Corvette,1959,JM1NC2PF8E0582360,$8144.88
Suzuki,Grand Vitara,2008,1GT3CZBG1AF393735,$1327.98
BMW,Alpina B7,2007,JM3TB2CA3E0621495,$3102.61
Hyundai,Entourage,2009,2G4WS52J011270550,$2370.02
MINI,Cooper Countryman,2011,19XFB4F31EE406316,$5133.05
Volvo,960,1993,5J8TB4H38DL569648,$9739.35
Mercury,Mountaineer,1999,1G6YX36D185447478,$8755.84
Chevrolet,Lumina,1992,5J8TB4H30FL130950,$8813.21
Honda,Prelude,1984,1GYUCFEJ7AR918557,$6789.71
Audi,5000CS Quattro,1986,WAUDH94F66N419735,$775.39
Buick,Regal,2000,SCBBR93W578386352,$9917.47
Chevrolet,2500,1995,JN1AY1AP0DM532588,$6771.45
Lamborghini,Murciélago,2003,3D7JV1EP0BG210233,$2157.62
Ford,Expedition,2005,WBALM73509E699046,$5412.77
Jaguar,XJ Series,1994,WAUFEAFM7BA938762,$3087.21
Lotus,Elan,1991,JTDKN3DU4A0900572,$2227.56
Chevrolet,Camaro,1997,WUAAU34298N555603,$9517.96
Hyundai,Sonata,2006,1G6DU6EV3A0162027,$2070.27
Nissan,Altima,2006,WAUML64B13N257955,$5940.79
Ford,Thunderbird,1995,5N1AN0NU6AC644065,$7973.08
Dodge,Stealth,1995,WAULD64B93N510898,$1728.94
Chrysler,Town & Country,2003,JA4AS2AW9DU601042,$6651.08
Nissan,Pathfinder,1994,19UYA41743A263711,$3454.01
Hyundai,Sonata,2008,4T3BA3BB5DU326805,$5545.14
Chevrolet,Camaro,2011,19XFB2F2XCE737906,$5056.14
GMC,Canyon,2010,3D7JB1ET9BG313222,$3466.47
Volkswagen,Passat,2010,WBAUL7C58CV924179,$7496.73
Chevrolet,Colorado,2011,1N4AL3AP6DC728778,$897.24
Subaru,Legacy,2003,5UXWX9C59DL934727,$7388.50
Dodge,Grand Caravan,2003,JA4AP3AU3BZ438653,$2587.03
Pontiac,Grand Prix,1964,19UUA76698A513712,$2642.70
Subaru,B9 Tribeca,2006,JA4AS2AW3DU980412,$2854.69
Pontiac,Firebird,1992,1FTWX3A50AE942648,$7625.45
Corbin,Sparrow,2004,SCBCP73W58C720649,$580.45
Acura,Integra,1992,19UUA66257A753717,$6170.93
Lincoln,Town Car,1998,WAULD64B63N352374,$5913.82
GMC,Envoy,2002,WAUHFAFL2CA747555,$1633.45
Acura,MDX,2001,WAUKD98P06A668268,$3844.91
Nissan,Sentra,1996,WAUVT54B04N384714,$8641.89
Mazda,B-Series,1992,WAUXL68E04A387753,$5519.53
Ford,Ranger,1997,5J8TB3H55GL732255,$2895.56
Infiniti,I,1999,1VWAP7A37EC155634,$5740.45
Ford,E150,2005,WBAYM9C59DD252506,$4560.70
Ford,Taurus,2007,1FMJK1H50CE389081,$9413.20
Dodge,Caravan,1999,1G6AB5SA6D0638926,$6283.58
Volkswagen,Jetta,2001,JTEBU4BF8CK502183,$850.11
Suzuki,SJ,1994,WAUBF98E97A918780,$5267.29
Pontiac,Grand Prix,1985,JN1BY1AP8DM101470,$9787.84
Hyundai,Tiburon,2004,1FTEW1E87AF167802,$6872.99
Volkswagen,GTI,2010,1FTNF1E87AK315065,$4225.30
Volvo,940,1993,1GD022CG9CZ192481,$665.91
GMC,Savana 2500,2005,WA1VMAFE6BD850420,$2492.12
GMC,Sierra 1500,2010,JM1CR2W38A0207656,$7691.15
BMW,X5,2012,1G4HR54K414804986,$4538.53
GMC,Rally Wagon 3500,1992,1FBNE3BL1CD090919,$4656.96
Volkswagen,Jetta,2010,1N4AL2AP7AN626965,$1007.26
Pontiac,Grand Prix,2004,WAURVAFD0BN071517,$8002.12
Ford,Flex,2012,WBAVC73527K612841,$6330.96
Chevrolet,Camaro,1980,WA1CV94L37D435101,$2188.79
Chevrolet,G-Series G20,1993,JA32X2HU7DU771463,$8380.60
